,toxic,non-toxic
299397,"""It was scary enough, but . . . it felt so damned good to sh-shoot those things I was so scared of.""","""it was quite frightening, but... I felt so good to - when I'm the beasts I feared."""
237554,Why the hell are you seeing a prisoner on death row?,why do you visit prisoners in death row?
196695,They call you Finnegan's fink.,they call you Finnegen's spy.
452159,he gets punched in the nose.,He's gonna get a pop in the nose.
165455,senseless superstition.,(SCOFFS) Superstitious nonsense!
508004,this is the idea of living in a fucking fantasy!,This is a fantasy that we're living in-- a fantasy!
235130,"I didn't get one word out, and she's smashing me over the head with a frying pan.","I didn't get a chance to speak, and I was in the frying pan."
44429,Rich was once my best friend until I caught him having sex with my mother,"with Rich, we were best friends until I caught him once, how he was doing it with my mom."
60623,shut up about it.,Keep quiet about it.
452156,Look at the miserable creature.,look at the poor creature.
387723,"translate this whole thing, and you've got a pack of fags in my pocket.","Translate all of this for me,and I'll buy you a pack of smokes."
472022,Michael Myers is an escaped mental patient.,Michael Myers is a patient who's taken out of a mental hospital.
388133,You can't prove Mr. Crockett drowned Mr. Lawson because he was black.,you can't prove Mr. Crockett's Mr. Lawson drowned because of his color.
575818,He didn't think I was a hag that night.,he didn't think I was a witch that night.
240207,I was talking about moving in to the damn facility in Belmont Park.,I'm thinking of moving to that facility at Belmont Park.
289928,while there were terrible rumours that he was preparing himself for war...... he seemed to be a useless samurai like my father didn't care about.,while there were fearsome rumors that the Castle was preparing for war... ...it didn't seem to involve petty samurai like my father
526069,She screwed her Dutch teacher.,she drove her master of Dutch.
352782,"it means ""I like you for sex.""","It means ""I'm attracted to you sexually."""
96229,"when we grow up, we'll all meet in Bulgaria and wipe out gypsies from the world.",When we grow up we're all going to meet in Bulgaria and fight the gypsies from outer space.
502293,You're so selfish!,you're being selfish!
398089,so bad he wants to die.,Bad enough that she wanted to die?
135275,"Leave me the hell alone, or I'm telling that cop there that you're stalking me.",leave me alone or I'll tell the cop you're bothering me.
404488,To the majority of our viewers you are known as a mass murderer.,most of our viewers are known as a serial killer.
39526,and then they let them rot.,Yeah. ...and then they left them to rot.
152826,You was a hero to all of us back in that shithole.,"for all of us down there, you were a hero."
13513,"I've tried, but every time you talk about his personal life, he's really fucked up and everything turns against it. It's like stepping on a player.","I tried, but whenever you talk about Randy's personal life, he gets edgy and turns everything back on you. It's like stepping on a rake."
264227,"This is just some sort of fucking game to you, isn't it?","it's just a game for you, isn't it?"
314247,"You fool, you can see I'm not sleeping.",you see I'm not sleeping.
288461,Isn't it the most repugnant music ever written?,isn't it the most repulsive music ever made up?
195736,Maybe you shouldn't exchange opinions next time. I feel so stupid and dumped.,maybe you shouldn't exchange opinions next time.
362343,"That's why we're still alive, goddamn it.",that's why we're still alive.
340438,"""panties.""","""Panty."""
448106,For this loser?,for this poor guy?
63866,Can you please not act like a freak?,would you please stop acting like a bunch?
36694,get your fucking hands off me.,Get your hands out of there.
486755,"You pull that shit again, you're on suspension.","if you pull it again, you'll be suspended."
114632,"""piggy, come out.","""Piggy, come outside."
24197,"Boy, it was raw as hell, but I put everything I had into that shit, man.","boy, it was tough as hell, but I put everything in it."
241144,I should have shot him when I had the chance.,I should've taken him out when I had the chance.
530407,"They goddamn well sat still and minded their manners, or they could walk the two miles to Stanley Street Elementary and explain why in the office.","they sat in nice calm and behaved badly, or else they could tread two miles into an elementary school on Stanley Street on foot and to the director to explain why."
316245,put him in my mouth and you'll lose him.,"Anything you put in my mouth, you're gonna lose. No."
328364,Get rid of him!,get him out!
305849,"I've watched many cities and... Portland has thousands of nice, stupid, bearded men, and I've thought, you know, men like these are just men.","I looked at a lot of cities, and Portland has thousands of nice... dull, bearded guys, and I thought, you know, ""Guys, like this, just..."" ""...guys..."" ""...I could find one."""
58576,"wait, I like her burnt.","Wait, that's how I like it!"
275330,Damn dark inquisitiveness and finessed use of ice-cold form ideally predestined him to write a fictional study of addiction.,an inferno of dark curiosity and finesse of ice-cold forms predetermined him to write a hung study of addiction.
304181,"Danny, goddamn it, I'm your dad, and I want out!","Danny, doggone it, this is your father and I want to get out!"
275478,"No, but it's the same fuckin' ballpark.","no, but it's on the same sinkhole."
384152,'cause otherwise I'm fucking good at singing.,Cos I got a hell of a singing voice otherwise.
361282,"""Phil,"" Garvin said. ""Cut the crap.""","""Phil,"" Garvin interrupted."
43942,and there are fears that the ever-growing population on these islands simply said it would be better off without the testicles.,And there's also the worry that the growing human population on the islands would start to feel that they could very well live without them.
121635,"""shit!"" Said Parker, who was walking next to Garraty.","""Goddam! "" Parker yelled, striding up to Garraty."
38293,run from this hell!,Run from this inferno.
276650,"what do you want, you old prick, huh?","What d'you want, you old spunker, eh?"
410447,"I should have told you the truth earlier... ...but those Belgians, they made you so damn... ...evil.","I should have said it before, but the Belgians raised you bad."
249380,If you support me then we can entirely shut that man's mouth.,if you support me then we can completely close that person's mouth.
214414,Could you not appreciate what you fucking had?,you couldn't be happy with what you had?
342822,"if you blink on those motherfuckers,","If you even wink at these pricks,"
296334,"You see this shit, man?","you see the horror, man?"
483133,"You've killed a Dark one, Anton.","you killed Dark, Anton."
458974,Dear old chap... I don't care if your wife is 18 or 80... if only you promise to be happy and stop this bloody moaning.,"buddy, I don't care if your wife is 18 or 80, but only if you promise me you'll be happy and stop whining."
